HTTPS,Result,Details,UpdatedURL
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0159bd43-43ab-4a69-b8ea-3085da363024,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0159bd43-43ab-4a69-b8ea-3085da363024
https://connect.discoveryeducation.com/index.cfm?guidAssetID=01EE64D1-3CF8-4ECC-8CFE-49FAEA6AC79C,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=01ee64d1-3cf8-4ecc-8cfe-49faea6ac79c
https://connect.discoveryeducation.com/index.cfm?guidAssetID=01F86F50-051D-4BBB-8B08-823520CC4E3D,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=01f86f50-051d-4bbb-8b08-823520cc4e3d
https://connect.discoveryeducation.com/index.cfm?guidAssetID=022ED1A7-9D2E-4FBD-B770-936004D24F5E,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=022ed1a7-9d2e-4fbd-b770-936004d24f5e
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0234990A-8AA5-48FB-A54D-C74CCCD47A01,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0234990a-8aa5-48fb-a54d-c74cccd47a01
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0245F8ED-6F96-49DE-B5E9-85329E49E5CE,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0245f8ed-6f96-49de-b5e9-85329e49e5ce
https://connect.discoveryeducation.com/index.cfm?guidAssetID=026AE1AF-65B3-4C35-9FE6-4B862792C9E7,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=026ae1af-65b3-4c35-9fe6-4b862792c9e7
https://connect.discoveryeducation.com/index.cfm?guidAssetID=02758609-ac1b-4c5f-9d47-02490e333f4c,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=02758609-ac1b-4c5f-9d47-02490e333f4c
https://connect.discoveryeducation.com/index.cfm?guidAssetID=02FA5D5D-1704-4DC2-857F-E63AB2289BEE,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=02fa5d5d-1704-4dc2-857f-e63ab2289bee
https://connect.discoveryeducation.com/index.cfm?guidAssetID=02ea5f87-8ce9-430d-9581-7ae1e9904258,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=02ea5f87-8ce9-430d-9581-7ae1e9904258
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0304d77c-109c-4d4b-b80b-a84cce27eb9,Redirected,URL should be updated to match Redirected URL,https://www.discoveryeducation.com/?ErrMsg=Please%20supply%20a%20Code.%20Please%20try%20again.
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0304d77c-109c-4d4b-b80b-a84cce27eb9f,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0304d77c-109c-4d4b-b80b-a84cce27eb9f
https://connect.discoveryeducation.com/index.cfm?guidAssetID=030CFF5C-1B78-4AB4-A108-0AC743F103BF,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=030cff5c-1b78-4ab4-a108-0ac743f103bf
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0316BEC7-E741-4B8C-8825-A90B402B50A0,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0316bec7-e741-4b8c-8825-a90b402b50a0
