PK_ID,HTTPS
235180,https://connect.discoveryeducation.com/index.cfm?
235181,https://connect.discoveryeducation.com/index.cfm?
235182,https://connect.discoveryeducation.com/index.cfm?
235187,https://connect.discoveryeducation.com/index.cfm?
235188,https://connect.discoveryeducation.com/index.cfm?
235189,https://connect.discoveryeducation.com/index.cfm?
224128,https://connect.discoveryeducation.com/index.cfm?
224129,https://connect.discoveryeducation.com/index.cfm?
224152,https://connect.discoveryeducation.com/index.cfm?
224158,https://connect.discoveryeducation.com/index.cfm?
224169,https://connect.discoveryeducation.com/index.cfm?
224172,https://connect.discoveryeducation.com/index.cfm?
234265,https://connect.discoveryeducation.com/index.cfm?
234267,https://connect.discoveryeducation.com/index.cfm?
234276,https://connect.discoveryeducation.com/index.cfm?
234280,https://connect.discoveryeducation.com/index.cfm?
234282,https://connect.discoveryeducation.com/index.cfm?
234283,https://connect.discoveryeducation.com/index.cfm?
234323,https://connect.discoveryeducation.com/index.cfm?
234329,https://connect.discoveryeducation.com/index.cfm?
234332,https://connect.discoveryeducation.com/index.cfm?
234333,https://connect.discoveryeducation.com/index.cfm?
234335,https://connect.discoveryeducation.com/index.cfm?
234338,https://connect.discoveryeducation.com/index.cfm?
234397,https://connect.discoveryeducation.com/index.cfm?
234398,https://connect.discoveryeducation.com/index.cfm?
234405,https://connect.discoveryeducation.com/index.cfm?
234406,https://connect.discoveryeducation.com/index.cfm?
234407,https://connect.discoveryeducation.com/index.cfm?
234408,https://connect.discoveryeducation.com/index.cfm?
234421,https://connect.discoveryeducation.com/index.cfm?
234423,https://connect.discoveryeducation.com/index.cfm?
234430,https://connect.discoveryeducation.com/index.cfm?
234431,https://connect.discoveryeducation.com/index.cfm?
234445,https://connect.discoveryeducation.com/index.cfm?
234460,https://connect.discoveryeducation.com/index.cfm?
235091,https://connect.discoveryeducation.com/index.cfm?
235092,https://connect.discoveryeducation.com/index.cfm?
235097,https://connect.discoveryeducation.com/index.cfm?
235099,https://connect.discoveryeducation.com/index.cfm?
235100,https://connect.discoveryeducation.com/index.cfm?
235102,https://connect.discoveryeducation.com/index.cfm?
235103,https://connect.discoveryeducation.com/index.cfm?
235107,https://connect.discoveryeducation.com/index.cfm?
235113,https://connect.discoveryeducation.com/index.cfm?
235114,https://connect.discoveryeducation.com/index.cfm?
235115,https://connect.discoveryeducation.com/index.cfm?
235118,https://connect.discoveryeducation.com/index.cfm?
235119,https://connect.discoveryeducation.com/index.cfm?
235122,https://connect.discoveryeducation.com/index.cfm?
235123,https://connect.discoveryeducation.com/index.cfm?
235124,https://connect.discoveryeducation.com/index.cfm?
235125,https://connect.discoveryeducation.com/index.cfm?
235126,https://connect.discoveryeducation.com/index.cfm?
235131,https://connect.discoveryeducation.com/index.cfm?
235134,https://connect.discoveryeducation.com/index.cfm?
235135,https://connect.discoveryeducation.com/index.cfm?
235136,https://connect.discoveryeducation.com/index.cfm?
235137,https://connect.discoveryeducation.com/index.cfm?
235139,https://connect.discoveryeducation.com/index.cfm?
235143,https://connect.discoveryeducation.com/index.cfm?
235193,https://connect.discoveryeducation.com/index.cfm?
235197,https://connect.discoveryeducation.com/index.cfm?
235198,https://connect.discoveryeducation.com/index.cfm?
235202,https://connect.discoveryeducation.com/index.cfm?
235203,https://connect.discoveryeducation.com/index.cfm?
235204,https://connect.discoveryeducation.com/index.cfm?
235206,https://connect.discoveryeducation.com/index.cfm?
235210,https://connect.discoveryeducation.com/index.cfm?
235211,https://connect.discoveryeducation.com/index.cfm?
235269,https://connect.discoveryeducation.com/index.cfm?
235270,https://connect.discoveryeducation.com/index.cfm?
