USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
96711,11-AUG-20 12.52.51.633000000 PM,1107280,E2A515A2-2F42-4EA6-BD5C-CD62F39102F8.png,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21548769/354835/E2A515A2-2F42-4EA6-BD5C-CD62F39102F8.png,Success
96711,11-AUG-20 12.48.12.278000000 PM,1107279,83275EB2-EAAB-4F39-BFE9-35966BFE227F.png,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21548765/354720/83275EB2-EAAB-4F39-BFE9-35966BFE227F.png,Success
96711,11-AUG-20 12.45.43.953000000 PM,1107278,F3955BB4-BAD0-4F69-867A-388EB530F2D0.png,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21548761/354834/F3955BB4-BAD0-4F69-867A-388EB530F2D0.png,Success
167680,11-AUG-20 11.05.30.386000000 AM,1107266,CompareContrastEssay_Poems_Template.docx,http://52.252.6.133/suite/repository/workspace/Users/167680/Assessment Attempt Attachments/21548467/354816/CompareContrastEssay_Poems_Template.docx,Success
167571,11-AUG-20 10.58.16.446000000 AM,1107265,Of all the friends one gets to have in a lifetime.docx,http://52.252.6.133/suite/repository/workspace/Users/167571/Assessment Attempt Attachments/21548644/354354/Of all the friends one gets to have in a lifetime.docx,Success
167571,11-AUG-20 09.16.19.086000000 AM,1107264,Of all the friends one gets to have in a lifetime.docx,http://52.252.6.133/suite/repository/workspace/Users/167571/Assessment Attempt Attachments/21548583/354269/Of all the friends one gets to have in a lifetime.docx,Success
92069,11-AUG-20 08.28.06.422000000 AM,1107263,RG.EDCP.LA009.A.L25.pdf,http://52.252.6.133/suite/repository/workspace/Users/92069/Assessment Attempt Attachments/21548552/419236/RG.EDCP.LA009.A.L25.pdf,Success
168015,11-AUG-20 08.06.09.214000000 AM,1107262,Informational Essay.docx,http://52.252.6.133/suite/repository/workspace/Users/168015/Assessment Attempt Attachments/21548507/354354/Informational Essay.docx,Success
109696,11-AUG-20 07.20.18.138000000 AM,1107259,BIO3-GMO-Debate_Lesson2-Step1-Worksheet-2.pdf,http://52.252.6.133/suite/repository/workspace/Users/109696/Assessment Attempt Attachments/21494791/388241/BIO3-GMO-Debate_Lesson2-Step1-Worksheet-2.pdf,Success
109696,11-AUG-20 07.20.18.138000000 AM,1107261,BIO3-GMO-Debate_Lesson2-Step3-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/109696/Assessment Attempt Attachments/21494791/388243/BIO3-GMO-Debate_Lesson2-Step3-Worksheet.pdf,Success
168015,11-AUG-20 06.56.30.233000000 AM,1107260,Persuasive Essay.docx,http://52.252.6.133/suite/repository/workspace/Users/168015/Assessment Attempt Attachments/21548339/354358/Persuasive Essay.docx,Success
