PATH,USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
http://52.252.6.133/suite/repository/workspace/Users/180374/Assessment%20Attempt%20Attachments/21827909/390152/BIO1-Scientific-Method_Video-Worksheet.pdf,180374,14-SEP-20 03.14.21.460000000 PM,1123162,,BIO1-Scientific-Method_Video-Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/180374/Assessment%20Attempt%20Attachments/21827909/390153/BIO1-Scientific-Method_Unify-Worksheet.pdf,180374,14-SEP-20 03.14.21.460000000 PM,1123172,,BIO1-Scientific-Method_Unify-Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/177294/Assessment%20Attempt%20Attachments/21798167/354687/AutobiographicalNarrative_Template-3.docx,177294,14-SEP-20 03.13.33.972000000 PM,1123169,,AutobiographicalNarrative_Template-3.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/170517/Assessment%20Attempt%20Attachments/21812306/451928/parabola123.PNG,170517,14-SEP-20 03.13.15.820000000 PM,1123154,,parabola123.PNG,,,,T
http://52.252.6.133/suite/repository/workspace/Users/178715/Assessment%20Attempt%20Attachments/21823910/408751/Real-Life_Heroes_Worksheet_Step4pdf.pdf,178715,14-SEP-20 03.13.15.477000000 PM,1123168,,Real-Life_Heroes_Worksheet_Step4pdf.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/171702/Assessment%20Attempt%20Attachments/21825965/317211/coach%20goal%20setting.pdf,171702,14-SEP-20 03.12.07.990000000 PM,1123163,,coach goal setting.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment%20Attempt%20Attachments/21825654/459246/Screen%20Shot%202020-09-14%20at%2011.11.41%20AM.png,108729,14-SEP-20 03.12.06.344000000 PM,1123160,,Screen Shot 2020-09-14 at 11.11.41 AM.png,,,,T
http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment%20Attempt%20Attachments/21825654/459246/Screen%20Shot%202020-09-14%20at%2011.11.45%20AM.png,108729,14-SEP-20 03.12.06.344000000 PM,1123161,,Screen Shot 2020-09-14 at 11.11.45 AM.png,,,,T
http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment%20Attempt%20Attachments/21825654/459192/Screen%20Shot%202020-09-14%20at%2010.43.15%20AM.png,108729,14-SEP-20 03.12.06.344000000 PM,1123051,,Screen Shot 2020-09-14 at 10.43.15 AM.png,,,,T
http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment%20Attempt%20Attachments/21825654/459192/Screen%20Shot%202020-09-14%20at%2010.43.24%20AM.png,108729,14-SEP-20 03.12.06.344000000 PM,1123053,,Screen Shot 2020-09-14 at 10.43.24 AM.png,,,,T
