EXTERNAL_URL,Result,Details,UpdatedURL
https://www.just.edu.jo/~cis99/Windows7/ls03/ls03.html,Failed - https,Failed with https; Successful as http,http://www.just.edu.jo/~cis99/Windows7/ls03/ls03.html
https://www.just.edu.jo/~cis99/Windows7/ls03/ls03.html,Failed - https,Failed with https; Successful as http,http://www.just.edu.jo/~cis99/Windows7/ls03/ls03.html
https://www.just.edu.jo/~cis99/Windows7/ls06/ls06.html,Failed - https,Failed with https; Successful as http,http://www.just.edu.jo/~cis99/Windows7/ls06/ls06.html
https://www.just.edu.jo/~cis99/internet/ls17/ls17.mp4,Failed - https,Failed with https; Successful as http,http://www.just.edu.jo/~cis99/internet/ls17/ls17.mp4
https://www.k12reader.com/worksheet/conclusion-checklist/view/,Success,,
https://www.k12reader.com/worksheet/the-mayflower-compact/view/,Success,,
https://www.kaliweb.com/jacksonpollock/art.htm,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://www.kateowengallery.com/page/10-Facts-About-Aboriginal-Art.aspx,Redirected,URL should be updated to match Redirected URL,https://www.kateowengallery.com/page/10-Facts-About-Aboriginal-Art
https://www.kazimir-malevich.org/,Success,,
https://www.kentchemistry.com/links/AtomicStructure/atomicmasscalc.htm,Success,,
https://www.khanacademy.org/exercise/angles_1,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/triangle-angles/e/angles_1
https://www.khanacademy.org/exercise/converting_between_point_slope_and_slope_intercept,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:forms-of-linear-equations/x2f8bb11595b61c86:point-slope-form/e/converting_between_point_slope_and_slope_intercept
https://www.khanacademy.org/exercise/direct_and_inverse_variation,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra-home/alg-rational-expr-eq-func/alg-direct-and-inverse-variation/e/direct_and_inverse_variation
https://www.khanacademy.org/exercise/linear_inequalities,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities/x2f8bb11595b61c86:multistep-inequalities/e/linear_inequalities
https://www.khanacademy.org/exercise/measuring_angles,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geo-angle/measure-angles/e/measuring_angles
https://www.khanacademy.org/exercise/solving_for_the_x-intercept,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:linear-equations-graphs/x2f8bb11595b61c86:x-intercepts-and-y-intercepts/e/solving_for_the_x-intercept
https://www.khanacademy.org/math/algebra/ck12-algebra-1/v/distance-formula,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem/pythagorean-theorem-distance/v/distance-formula
https://www.khanacademy.org/math/algebra/ck12-algebra-1/v/geometric-sequences--introduction,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:sequences/x2f8bb11595b61c86:introduction-to-geometric-sequences/v/geometric-sequences-introduction
https://www.khanacademy.org/math/algebra/ck12-algebra-1/v/solving-linear-systems-by-graphing,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-systems-topic/cc-8th-systems-graphically/v/solving-linear-systems-by-graphing
https://www.khanacademy.org/math/algebra/ck12-algebra-1/v/solving-linear-systems-by-substitution,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/algebra-home/alg-system-of-equations/alg-solving-systems-of-equations-with-substitution/v/solving-linear-systems-by-substitution
