EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result,Details,UpdatedURL
202974,http://www.slideshare.net/RobinLeRoyKyle/authors-purpose-powerpoint-edmodo-copy-with-audio,See More,Success,,https://www.slideshare.net/RobinLeRoyKyle/authors-purpose-powerpoint-edmodo-copy-with-audio
206473,http://www.slideshare.net/RosibelCabrera10/eating-disorders-3798403,Do More,Success,,https://www.slideshare.net/RosibelCabrera10/eating-disorders-3798403
228283,http://www.slideshare.net/afinn302/being-a-good-audience-member,See More,Success,,https://www.slideshare.net/afinn302/being-a-good-audience-member
201973,http://www.slideshare.net/amie2372/elements-of-a-folktale#btnNext,See More,Success,,https://www.slideshare.net/amie2372/elements-of-a-folktale#btnNext
208835,http://www.slideshare.net/caloughman/concrete-poems-10072187,See More,Success,,https://www.slideshare.net/caloughman/concrete-poems-10072187
209020,http://www.slideshare.net/cedmonds813/connotation-denotation?from_search=4,See More,Success,,https://www.slideshare.net/cedmonds813/connotation-denotation?from_search=4
227429,http://www.slideshare.net/ceygloria/music-of-the-renaissance-period,See More,Success,,https://www.slideshare.net/ceygloria/music-of-the-renaissance-period
209758,http://www.slideshare.net/deianeira5/prediction-and-inference-presentation-657186,See More,Success,,https://www.slideshare.net/deianeira5/prediction-and-inference-presentation-657186
209767,http://www.slideshare.net/deianeira5/questioning-presentation-883322,See More,Success,,https://www.slideshare.net/deianeira5/questioning-presentation-883322
172462,http://www.slideshare.net/elkissn/fiction-genres,See More,Success,,https://www.slideshare.net/elkissn/fiction-genres
226574,http://www.slideshare.net/elkissn/formal-and-informal-language,See More,Success,,https://www.slideshare.net/elkissn/formal-and-informal-language
203896,http://www.slideshare.net/elonahartjes/setting-goals-the-smart-way,Do More,Success,,https://www.slideshare.net/elonahartjes/setting-goals-the-smart-way
207276,http://www.slideshare.net/fitsite/is-your-workout-making-you-sick,See More,Success,,https://www.slideshare.net/fitsite/is-your-workout-making-you-sick
225287,http://www.slideshare.net/hfryns/foreshadow-flashback,See More,Success,,https://www.slideshare.net/hfryns/foreshadow-flashback
225326,http://www.slideshare.net/hfryns/foreshadow-flashback,See More,Success,,https://www.slideshare.net/hfryns/foreshadow-flashback
203901,http://www.slideshare.net/icti/student-project-peer-pressure,See More,Success,,https://www.slideshare.net/icti/student-project-peer-pressure
228441,http://www.slideshare.net/jadaniels/reflection-essays-1254665,See More,Success,,https://www.slideshare.net/jadaniels/reflection-essays-1254665
203982,http://www.slideshare.net/jakeafarr/jake-farr-positive-v-negative-reinforcement,Do More,Success,,https://www.slideshare.net/jakeafarr/jake-farr-positive-v-negative-reinforcement
87496,http://www.slideshare.net/jcrowder/cubism-403196/,Instructional Video,Success,,https://www.slideshare.net/jcrowder/cubism-403196/
226700,http://www.slideshare.net/jorge86jimenez/how-to-write-an-informative-essay-12978253,See More,Success,,https://www.slideshare.net/jorge86jimenez/how-to-write-an-informative-essay-12978253
206435,http://www.slideshare.net/jovial43/dehydration-17896037,Do More,Success,,https://www.slideshare.net/jovial43/dehydration-17896037
209660,http://www.slideshare.net/jpennabaker/common-persuasivetechniques-7551735,See More,Success,,https://www.slideshare.net/jpennabaker/common-persuasivetechniques-7551735
203997,http://www.slideshare.net/k3stone/video-games-the-virtual-skinner-box,Do More,Success,,https://www.slideshare.net/k3stone/video-games-the-virtual-skinner-box
228108,http://www.slideshare.net/kebrooke/persuasive-ppt-16612875,See More,Success,,https://www.slideshare.net/kebrooke/persuasive-ppt-16612875
203928,http://www.slideshare.net/mariana2062/emotional-abuse-presentation,Do More,Success,,https://www.slideshare.net/mariana2062/emotional-abuse-presentation
209752,http://www.slideshare.net/mklingensmith/key-reading-strategies,See More,Success,,https://www.slideshare.net/mklingensmith/key-reading-strategies
208871,http://www.slideshare.net/nmcclure/narrative-and-lyric-poetry,See More,Success,,https://www.slideshare.net/nmcclure/narrative-and-lyric-poetry
204009,http://www.slideshare.net/nutriexcel/nutrition-basic-1-macronutrients-presentation,Do More,Success,,https://www.slideshare.net/nutriexcel/nutrition-basic-1-macronutrients-presentation
198496,http://www.slideshare.net/pkrezinski/dictionary-ppt#btnNext,See More,Success,,https://www.slideshare.net/pkrezinski/dictionary-ppt#btnNext
209026,http://www.slideshare.net/poole7/wording-speeches-rhetorical-devices?from_search=22,See More,Success,,https://www.slideshare.net/poole7/wording-speeches-rhetorical-devices?from_search=22
